track_id,track_name,artist_spotify,macro_genre,danceability,energy,valence,popularity,year
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,Rock/Alternative,0.352,0.911,0.236,86,2020
00EAiVX99rZ4rlYFLItPcC,声?,はてな,Other,0.42,0.964,0.584,52,2021
00EsQxsJv6vy7hEQN3jZWG,"Beginning Middle End - Always and Forever Mix)(From The Netflix Film ""To All The Boys: Always and Forever""",Leah Nobel,Acoustic/Folk,0.457,0.451,0.307,52,2021
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,Electronic/Dance,0.73,0.729,0.467,78,2020
018eOid2aGaPdxon7T6GsC,"Shayad (From ""Love Aaj Kal"")",Pritam;Arijit Singh,Other,0.487,0.456,0.348,68,2020
01BC4Xj5tfsfV8DLDrma7q,Ciao Adios,Anne-Marie,Electronic/Dance,0.694,0.853,0.501,65,2020
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,Pop,0.761,0.525,0.531,88,2020
02xwA3Ej9NPetftp9V7VZ3,好きだから。,『ユイカ』,Pop,0.607,0.498,0.714,65,2021
034KyQEk7IhbLtniVhBErj,17,Pink Sweat$,Other,0.558,0.364,0.252,63,2020
03m3kX5QmsPQaA1Xl5gfP4,Aaoge jab tum o sajna unplugged,Nitin Shukla,Other,0.501,0.0664,0.547,56,2021
042Sl6Mn83JHyLEqdK7uI0,Your Power,Billie Eilish,Other,0.632,0.284,0.208,77,2021
04aulIHjjQyDVUUmaFDy8w,Angetenar,Rompasso;Rich The Kid,Electronic/Dance,0.708,0.879,0.202,59,2021
04sN26COy28wTXYj3dMoiZ,Bored,Billie Eilish,Other,0.614,0.318,0.112,85,2021
05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,Van Halen,Rock/Alternative,0.526,0.978,0.451,74,2020
05bfbizlM5AX6Mf1RRyMho,AM Remix,Nio Garcia;J Balvin;Bad Bunny,Latin,0.743,0.655,0.785,79,2021
068HSvCf5MbQfhV4qqaelg,"Haan Main Galat (From ""Love Aaj Kal"")",Pritam;Arijit Singh;Shashwat Singh,Other,0.685,0.736,0.893,59,2020
06BRkkaJsqM9i6VZKDvUlK,Black Lungs,Architects,Rock/Alternative,0.462,0.932,0.46,58,2021
06XQvnJb53SUYmlWIhUXUi,怪物,YOASOBI,Pop,0.627,0.824,0.774,71,2021
06kxa3al7bUqRRo5nAFduZ,Nightlight,ILLENIUM;Annika Wells,Other,0.494,0.651,0.162,61,2020
06nKF46jG8p1zwyP4ziAyG,Pears,Weston Estate,Other,0.607,0.599,0.192,61,2021
06sV7v0pvyvTbssfNCUWR7,Set You Free,Maur;FABER,Other,0.601,0.927,0.525,58,2020
079Ey5uxL04AKPQgVQwx5h,Baila Conmigo (with Rauw Alejandro),Selena Gomez;Rauw Alejandro,Electronic/Dance,0.823,0.544,0.664,75,2021
07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,THE ANXIETY;WILLOW;Tyler Cole,Rock/Alternative,0.773,0.47,0.399,81,2021
08F16baYbciTva9P4BvpiI,MAFIA,Travis Scott,Electronic/Dance,0.855,0.492,0.385,72,2021
08MFgEQeVLF37EyZ7jcwLc,Pano,Zack Tabudlo,Acoustic/Folk,0.375,0.457,0.415,75,2021
08YwAPnX8sygJUXG9rvhDv,ハルジオン,YOASOBI,Pop,0.687,0.873,0.884,62,2021
08kTa3SL9sV6Iy8KLKtGql,Kasoor,Prateek Kuhad,Acoustic/Folk,0.558,0.497,0.444,70,2020
09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae;Kali Uchis;Moliy,Rock/Alternative,0.87,0.523,0.319,79,2021
09u787BYeYIGd2mFIJ505t,Cry Your Heart Out,Adele,Other,0.756,0.713,0.59,66,2021
09vHbIezp9NP31CZWysk3v,"Najaa (From ""Sooryavanshi"")",Tanishk Bagchi;Pav Dharia;Nikhita Gandhi,Pop,0.786,0.727,0.697,70,2021
0AQ1twwDGVlIVpcHDkGkXD,Sleepless,D.O.D,Electronic/Dance,0.453,0.717,0.644,60,2021
0AUvWawuP0ibk4SQ3sIZjk,Daisy,Ashnikko,Other,0.834,0.663,0.774,71,2020
0AUyNF6iFxMNQsNx2nhtrw,Blood // Water,grandson,Rock/Alternative,0.51,0.882,0.653,75,2020
0CawrCDxkBgaR2ImcpQYMm,So Good,OAFF;Kayan,Other,0.767,0.431,0.473,46,2021
0DWUfq7vSAArkz82XHnuGm,SEM LIMITES,WC no Beat;LUDMILLA;Vitão,R&B/Soul,0.721,0.599,0.665,44,2020
0Dfctnkk9xIikDKJ06uwzo,She's So Nice,Pink Guy,Other,0.828,0.577,0.587,64,2020
0DmAvNCAK08oCi7miSZUIY,Lasting Lover,Sigala;James Arthur,Electronic/Dance,0.676,0.786,0.483,72,2020
0DuWDLjriRPjDRoPgaCslY,Love In The Dark,Adele,Other,0.331,0.341,0.152,78,2021
0DxTEuqiERU7W4Cfy6IeLa,"Carnival of the Animals, R. 125: The Swan",Camille Saint-Saëns;Philippe Entremont;Gaby Casadesus;Yo-Yo Ma,Other,0.211,0.00756,0.0391,60,2021
0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),J Balvin;Dua Lipa;Bad Bunny;Tainy,Latin,0.571,0.693,0.393,75,2020
0ErzcmZ2gIwX7X0xSMQPix,BOSS,NCT;NCT U,Pop,0.787,0.543,0.332,66,2020
