macro_genre,count,month
Acoustic/Folk,87,2020-01
Country,66,2020-01
Electronic/Dance,1090,2020-01
Hip-Hop/Rap,369,2020-01
Latin,270,2020-01
Other,950,2020-01
Pop,1475,2020-01
R&B/Soul,73,2020-01
Rock/Alternative,301,2020-01
Acoustic/Folk,114,2020-02
Country,45,2020-02
Electronic/Dance,988,2020-02
Hip-Hop/Rap,284,2020-02
Latin,206,2020-02
Other,1339,2020-02
Pop,1333,2020-02
R&B/Soul,135,2020-02
Rock/Alternative,306,2020-02
Acoustic/Folk,93,2020-03
Country,56,2020-03
Electronic/Dance,974,2020-03
Hip-Hop/Rap,223,2020-03
Jazz/Blues,8,2020-03
Latin,484,2020-03
Other,1271,2020-03
Pop,1333,2020-03
R&B/Soul,182,2020-03
Rock/Alternative,360,2020-03
Acoustic/Folk,130,2020-04
Country,26,2020-04
Electronic/Dance,1623,2020-04
Hip-Hop/Rap,299,2020-04
Jazz/Blues,21,2020-04
Latin,317,2020-04
Other,1186,2020-04
Pop,1410,2020-04
R&B/Soul,260,2020-04
Rock/Alternative,349,2020-04
Acoustic/Folk,94,2020-05
Country,2,2020-05
Electronic/Dance,1867,2020-05
Hip-Hop/Rap,373,2020-05
Latin,165,2020-05
Other,1221,2020-05
Pop,1717,2020-05
R&B/Soul,207,2020-05
Rock/Alternative,520,2020-05
Acoustic/Folk,54,2020-06
Electronic/Dance,1530,2020-06
Hip-Hop/Rap,261,2020-06
Jazz/Blues,72,2020-06
Latin,156,2020-06
Other,1111,2020-06
Pop,1661,2020-06
R&B/Soul,177,2020-06
Rock/Alternative,279,2020-06
Acoustic/Folk,114,2020-07
Country,2,2020-07
Electronic/Dance,1019,2020-07
Hip-Hop/Rap,123,2020-07
Jazz/Blues,184,2020-07
Latin,182,2020-07
Other,1054,2020-07
Pop,1959,2020-07
R&B/Soul,105,2020-07
Rock/Alternative,585,2020-07
Acoustic/Folk,67,2020-08
Country,54,2020-08
Electronic/Dance,997,2020-08
Hip-Hop/Rap,92,2020-08
Jazz/Blues,6,2020-08
Latin,281,2020-08
Other,1357,2020-08
Pop,2363,2020-08
R&B/Soul,60,2020-08
Rock/Alternative,977,2020-08
Acoustic/Folk,68,2020-09
Country,35,2020-09
Electronic/Dance,984,2020-09
Hip-Hop/Rap,90,2020-09
Latin,390,2020-09
Other,1316,2020-09
Pop,2465,2020-09
R&B/Soul,87,2020-09
Rock/Alternative,1007,2020-09
Acoustic/Folk,55,2020-10
Country,42,2020-10
Electronic/Dance,848,2020-10
Hip-Hop/Rap,176,2020-10
Jazz/Blues,1,2020-10
Latin,333,2020-10
Other,1205,2020-10
Pop,2294,2020-10
R&B/Soul,112,2020-10
Rock/Alternative,1052,2020-10
Acoustic/Folk,77,2020-11
Country,45,2020-11
Electronic/Dance,977,2020-11
Hip-Hop/Rap,261,2020-11
Jazz/Blues,73,2020-11
Latin,687,2020-11
Other,1350,2020-11
Pop,2189,2020-11
R&B/Soul,178,2020-11
Rock/Alternative,827,2020-11
Acoustic/Folk,154,2020-12
Country,5,2020-12
Electronic/Dance,719,2020-12
Hip-Hop/Rap,341,2020-12
Jazz/Blues,219,2020-12
Latin,646,2020-12
Other,1601,2020-12
Pop,2516,2020-12
R&B/Soul,138,2020-12
Rock/Alternative,943,2020-12
Acoustic/Folk,113,2021-01
Country,30,2021-01
Electronic/Dance,1111,2021-01
Hip-Hop/Rap,444,2021-01
Jazz/Blues,55,2021-01
Latin,643,2021-01
Other,1284,2021-01
Pop,2800,2021-01
R&B/Soul,50,2021-01
Rock/Alternative,1524,2021-01
Acoustic/Folk,47,2021-02
Country,43,2021-02
Electronic/Dance,1378,2021-02
Hip-Hop/Rap,397,2021-02
Jazz/Blues,6,2021-02
Latin,412,2021-02
Other,1361,2021-02
Pop,2523,2021-02
R&B/Soul,21,2021-02
Rock/Alternative,989,2021-02
Acoustic/Folk,261,2021-03
Country,34,2021-03
Electronic/Dance,1660,2021-03
Hip-Hop/Rap,368,2021-03
Jazz/Blues,10,2021-03
Latin,410,2021-03
Other,1534,2021-03
Pop,2762,2021-03
R&B/Soul,83,2021-03
Rock/Alternative,1130,2021-03
Acoustic/Folk,172,2021-04
Electronic/Dance,1837,2021-04
Hip-Hop/Rap,472,2021-04
Jazz/Blues,24,2021-04
Latin,404,2021-04
Other,1426,2021-04
Pop,3027,2021-04
R&B/Soul,215,2021-04
Rock/Alternative,1074,2021-04
Acoustic/Folk,120,2021-05
Country,20,2021-05
Electronic/Dance,1865,2021-05
Hip-Hop/Rap,488,2021-05
Latin,433,2021-05
Other,1419,2021-05
Pop,3289,2021-05
R&B/Soul,227,2021-05
Rock/Alternative,960,2021-05
Acoustic/Folk,112,2021-06
Country,20,2021-06
Electronic/Dance,1519,2021-06
Hip-Hop/Rap,439,2021-06
Latin,520,2021-06
